Time (s),PF,RR,BAT,MT
0.5,0.068156,0.058334,0.050578,0.000000
0.75,0.064008,0.067520,0.057654,0.000000
1,0.062730,0.067520,0.057635,0.000000
1.25,0.064011,0.067520,0.057898,0.000000
1.5,0.062730,0.067520,0.057744,0.000000
1.75,0.064011,0.067520,0.057411,0.000000
2,0.062730,0.067520,0.057669,0.000000
2.25,0.062730,0.067520,0.057652,0.000000
2.5,0.064008,0.067520,0.057739,0.000000
2.75,0.062730,0.067520,0.057570,0.000000
3,0.064011,0.067520,0.057712,0.000000
3.25,0.062730,0.067520,0.057657,0.000000
3.5,0.064011,0.067520,0.057796,0.000000
3.75,0.062730,0.067250,0.057532,0.000000
4,0.064011,0.067250,0.057646,0.000000
4.25,0.062727,0.067520,0.057646,0.000000
4.5,0.062730,0.067520,0.057663,0.000000
4.75,0.064011,0.067520,0.057643,0.000000
5,0.062730,0.067520,0.057652,0.000000
5.25,0.064011,0.067520,0.057663,0.000000
5.5,0.062730,0.067250,0.057646,0.000000
5.75,0.064011,0.066980,0.057938,0.000000
6,0.062727,0.067520,0.057664,0.000000
6.25,0.064011,0.067250,0.057430,0.000000
6.5,0.062730,0.067520,0.057669,0.000000
6.75,0.062730,0.067250,0.057848,0.000000
7,0.064011,0.067250,0.057426,0.000000
7.25,0.062730,0.067250,0.057709,0.000000
7.5,0.064011,0.067520,0.057664,0.000000
7.75,0.062727,0.067520,0.057750,0.000000
8,0.064011,0.067520,0.057680,0.000000
8.25,0.062730,0.067250,0.057866,0.000000
8.5,0.062730,0.067520,0.057642,0.000000
8.75,0.064011,0.067520,0.056981,0.000000
9,0.062730,0.067520,0.058020,0.000000
9.25,0.064011,0.067520,0.057738,0.000000
9.5,0.062727,0.067250,0.057779,0.000000
9.75,0.064011,0.067520,0.057582,0.000000
